campaign,model,agent_mode,channel,scene,hops,milestones_done,milestones_trackable,milestones_presatisfied,steps_used,termination,frames_completed,max_steps,temperature,output_cap,thinking,milestone_hint,seed_count,codex_sandboxed,codex_timeout_s,server_port,wall_min,model_calls,ceiling_hits,wire_requests,input_tokens,output_tokens,trajectory,prompt_layout,response_style
q35,Qwen3.5-27B,default,vllm,0182,4,2,4,0,300,max_steps,28|216|-1|-1,300,0.7,1024,off,on,1,,,8003,59,300,0,0,0,0,trajectories/Qwen3.5-27B/default-vllm-0182.jsonl,legacy,full
q35,Qwen3.5-27B,default,vllm,0306,4,3,4,0,300,max_steps,6|16|21|-1,300,0.7,1024,off,on,1,,,8001,57,300,0,0,0,0,trajectories/Qwen3.5-27B/default-vllm-0306.jsonl,legacy,full
q35,Qwen3.5-27B,default,vllm,0311,4,1,4,0,300,max_steps,104|-1|-1|-1,300,0.7,1024,off,on,1,,,8001,54,300,0,0,0,0,trajectories/Qwen3.5-27B/default-vllm-0311.jsonl,legacy,full
q35,Qwen3.5-27B,default,vllm,0482,4,0,4,0,300,max_steps,-1|-1|-1|-1,300,0.7,1024,off,on,1,,,8002,39,300,0,0,0,0,trajectories/Qwen3.5-27B/default-vllm-0482.jsonl,legacy,full
q35,Qwen3.5-27B,default,vllm,0603,4,0,4,0,300,max_steps,-1|-1|-1|-1,300,0.7,1024,off,on,1,,,8003,60,300,0,0,0,0,trajectories/Qwen3.5-27B/default-vllm-0603.jsonl,legacy,full
q35,Qwen3.5-27B,default,vllm,0726,4,3,4,0,300,max_steps,52|108|135|-1,300,0.7,1024,off,on,1,,,8002,41,300,0,0,0,0,trajectories/Qwen3.5-27B/default-vllm-0726.jsonl,legacy,full
q35,Qwen3.5-27B,default,vllm,0763,4,2,4,0,300,max_steps,1|165|-1|-1,300,0.7,1024,off,on,1,,,8001,56,300,0,0,0,0,trajectories/Qwen3.5-27B/default-vllm-0763.jsonl,legacy,full
q35,Qwen3.5-27B,hypothesis,vllm,0182,4,0,4,0,300,max_steps,-1|-1|-1|-1,300,0.7,1024,off,on,1,,,8002,68,301,0,0,0,0,trajectories/Qwen3.5-27B/hypothesis-vllm-0182.jsonl,legacy,full
q35,Qwen3.5-27B,hypothesis,vllm,0306,4,4,4,0,195,agent_esc,6|38|23|194,300,0.7,1024,off,on,1,,,8003,74,195,0,0,0,0,trajectories/Qwen3.5-27B/hypothesis-vllm-0306.jsonl,legacy,full
q35,Qwen3.5-27B,hypothesis,vllm,0311,4,1,4,0,300,max_steps,34|-1|-1|-1,300,0.7,1024,off,on,1,,,8003,85,300,0,0,0,0,trajectories/Qwen3.5-27B/hypothesis-vllm-0311.jsonl,legacy,full
q35,Qwen3.5-27B,hypothesis,vllm,0482,4,1,4,0,300,max_steps,246|-1|-1|-1,300,0.7,1024,off,on,1,,,8001,69,304,0,0,0,0,trajectories/Qwen3.5-27B/hypothesis-vllm-0482.jsonl,legacy,full
q35,Qwen3.5-27B,hypothesis,vllm,0603,4,1,4,0,300,max_steps,-1|-1|51|-1,300,0.7,1024,off,on,1,,,8002,50,303,0,0,0,0,trajectories/Qwen3.5-27B/hypothesis-vllm-0603.jsonl,legacy,full
q35,Qwen3.5-27B,hypothesis,vllm,0726,4,1,4,0,300,max_steps,-1|158|-1|-1,300,0.7,1024,off,on,1,,,8001,77,300,0,0,0,0,trajectories/Qwen3.5-27B/hypothesis-vllm-0726.jsonl,legacy,full
q35,Qwen3.5-27B,hypothesis,vllm,0763,4,2,4,0,300,max_steps,1|121|-1|-1,300,0.7,1024,off,on,1,,,8003,70,300,0,0,0,0,trajectories/Qwen3.5-27B/hypothesis-vllm-0763.jsonl,legacy,full
q35,Qwen3.5-27B,prolong,codex,0182,4,2,4,0,300,max_steps,9|22|-1|-1,300,0.7,1024,off,on,1,True,900,8001,16,44,0,103,2812120,10785,trajectories/Qwen3.5-27B/prolong-codex-0182.jsonl,legacy,full
q35,Qwen3.5-27B,prolong,codex,0306,4,4,4,0,56,agent_esc,6|14|20|55,300,0.7,1024,off,on,1,True,900,8002,4,9,0,28,424573,3135,trajectories/Qwen3.5-27B/prolong-codex-0306.jsonl,legacy,full
q35,Qwen3.5-27B,prolong,codex,0311,4,0,4,0,300,max_steps,-1|-1|-1|-1,300,0.7,1024,off,on,1,True,900,8002,10,17,0,69,1380401,8052,trajectories/Qwen3.5-27B/prolong-codex-0311.jsonl,legacy,full
q35,Qwen3.5-27B,prolong,codex,0482,4,1,4,0,300,max_steps,22|-1|-1|-1,300,0.7,1024,off,on,1,True,900,8003,36,93,0,282,15939083,17361,trajectories/Qwen3.5-27B/prolong-codex-0482.jsonl,legacy,full
q35,Qwen3.5-27B,prolong,codex,0603,4,2,4,0,300,max_steps,-1|42|-1|253,300,0.7,1024,off,on,1,True,900,8001,34,51,0,237,10203311,26624,trajectories/Qwen3.5-27B/prolong-codex-0603.jsonl,legacy,full
q35,Qwen3.5-27B,prolong,codex,0726,4,3,4,0,300,max_steps,-1|62|78|99,300,0.7,1024,off,on,1,True,900,8003,54,77,0,305,17609055,36447,trajectories/Qwen3.5-27B/prolong-codex-0726.jsonl,legacy,full
q35,Qwen3.5-27B,prolong,codex,0763,4,2,4,0,300,max_steps,1|220|-1|-1,300,0.7,1024,off,on,1,True,900,8002,8,31,0,94,2576986,4238,trajectories/Qwen3.5-27B/prolong-codex-0763.jsonl,legacy,full
c4h,Qwen3.8-27B,default,codex,0182,4,1,4,0,300,max_steps,52|-1|-1|-1,300,0.7,1024,off,on,1,True,120,8001,423,341,129,4988,86671038,713774,trajectories/Qwen3.8-27B/default-codex-0182.jsonl,legacy,full
c4h,Qwen3.8-27B,default,codex,0306,4,3,4,0,300,max_steps,10|33|-1|82,300,0.7,1024,off,on,1,True,120,8003,374,311,93,3710,63378232,596966,trajectories/Qwen3.8-27B/default-codex-0306.jsonl,legacy,full
c4h,Qwen3.8-27B,default,codex,0311,4,0,4,0,300,max_steps,-1|-1|-1|-1,300,0.7,1024,off,on,1,True,120,8003,354,312,95,4516,78538473,524186,trajectories/Qwen3.8-27B/default-codex-0311.jsonl,legacy,full
c4h,Qwen3.8-27B,default,codex,0482,4,1,4,0,300,max_steps,55|-1|-1|-1,300,0.7,1024,off,on,1,True,120,8002,381,327,113,4838,86181324,625044,trajectories/Qwen3.8-27B/default-codex-0482.jsonl,legacy,full
c4h,Qwen3.8-27B,default,codex,0603,4,1,4,0,300,max_steps,-1|-1|273|-1,300,0.7,1024,off,on,1,True,120,8001,378,331,112,5025,88157578,614317,trajectories/Qwen3.8-27B/default-codex-0603.jsonl,legacy,full
c4h,Qwen3.8-27B,default,codex,0726,4,1,4,0,300,max_steps,27|-1|-1|-1,300,0.7,1024,off,on,1,True,120,8002,409,332,112,4077,72912153,720736,trajectories/Qwen3.8-27B/default-codex-0726.jsonl,legacy,full
c4h,Qwen3.8-27B,default,codex,0763,4,2,4,0,300,max_steps,2|146|-1|-1,300,0.7,1024,off,on,1,True,120,8003,359,312,94,3833,65051270,554021,trajectories/Qwen3.8-27B/default-codex-0763.jsonl,legacy,full
c4h,Qwen3.8-27B,default,vllm,0182,4,2,4,0,300,max_steps,7|112|-1|-1,300,0.7,1024,off,on,1,,,8001,152,302,0,0,0,0,trajectories/Qwen3.8-27B/default-vllm-0182.jsonl,legacy,full
c4h,Qwen3.8-27B,default,vllm,0306,4,4,4,0,136,agent_esc,10|41|57|135,300,0.7,1024,off,on,1,,,8001,107,137,0,0,0,0,trajectories/Qwen3.8-27B/default-vllm-0306.jsonl,legacy,full
c4h,Qwen3.8-27B,default,vllm,0311,4,1,4,0,300,max_steps,31|-1|-1|-1,300,0.7,1024,off,on,1,,,8002,52,301,0,0,0,0,trajectories/Qwen3.8-27B/default-vllm-0311.jsonl,legacy,full
c4h,Qwen3.8-27B,default,vllm,0482,4,1,4,0,300,max_steps,66|-1|-1|-1,300,0.7,1024,off,on,1,,,8001,138,303,0,0,0,0,trajectories/Qwen3.8-27B/default-vllm-0482.jsonl,legacy,full
c4h,Qwen3.8-27B,default,vllm,0603,4,0,4,0,300,max_steps,-1|-1|-1|-1,300,0.7,1024,off,on,1,,,8002,42,302,0,0,0,0,trajectories/Qwen3.8-27B/default-vllm-0603.jsonl,legacy,full
c4h,Qwen3.8-27B,default,vllm,0726,4,0,4,0,300,max_steps,-1|-1|-1|-1,300,0.7,1024,off,on,1,,,8002,56,304,0,0,0,0,trajectories/Qwen3.8-27B/default-vllm-0726.jsonl,legacy,full
c4h,Qwen3.8-27B,default,vllm,0763,4,2,4,0,300,max_steps,1|51|-1|-1,300,0.7,1024,off,on,1,,,8001,103,300,0,0,0,0,trajectories/Qwen3.8-27B/default-vllm-0763.jsonl,legacy,full
c4h,Qwen3.8-27B,hypothesis,vllm,0182,4,2,4,0,300,max_steps,8|38|-1|-1,300,0.7,1024,off,on,1,,,8003,93,309,0,0,0,0,trajectories/Qwen3.8-27B/hypothesis-vllm-0182.jsonl,legacy,full
c4h,Qwen3.8-27B,hypothesis,vllm,0306,4,4,4,0,107,agent_esc,7|15|46|106,300,0.7,1024,off,on,1,,,8001,31,107,0,0,0,0,trajectories/Qwen3.8-27B/hypothesis-vllm-0306.jsonl,legacy,full
c4h,Qwen3.8-27B,hypothesis,vllm,0311,4,0,4,0,300,max_steps,-1|-1|-1|-1,300,0.7,1024,off,on,1,,,8001,86,304,0,0,0,0,trajectories/Qwen3.8-27B/hypothesis-vllm-0311.jsonl,legacy,full
c4h,Qwen3.8-27B,hypothesis,vllm,0482,4,1,4,0,300,max_steps,27|-1|-1|-1,300,0.7,1024,off,on,1,,,8002,90,304,0,0,0,0,trajectories/Qwen3.8-27B/hypothesis-vllm-0482.jsonl,legacy,full
c4h,Qwen3.8-27B,hypothesis,vllm,0603,4,1,4,0,300,max_steps,-1|-1|264|-1,300,0.7,1024,off,on,1,,,8003,76,300,0,0,0,0,trajectories/Qwen3.8-27B/hypothesis-vllm-0603.jsonl,legacy,full
c4h,Qwen3.8-27B,hypothesis,vllm,0726,4,0,4,0,300,max_steps,-1|-1|-1|-1,300,0.7,1024,off,on,1,,,8002,88,306,0,0,0,0,trajectories/Qwen3.8-27B/hypothesis-vllm-0726.jsonl,legacy,full
c4h,Qwen3.8-27B,hypothesis,vllm,0763,4,2,4,0,300,max_steps,3|234|-1|-1,300,0.7,1024,off,on,1,,,8001,92,311,0,0,0,0,trajectories/Qwen3.8-27B/hypothesis-vllm-0763.jsonl,legacy,full
c4h,Qwen3.8-27B,prolong,codex,0182,4,0,4,0,300,max_steps,-1|-1|-1|-1,300,0.7,1024,off,on,1,True,900,8001,67,31,0,94,2263137,7022,trajectories/Qwen3.8-27B/prolong-codex-0182.jsonl,legacy,full
c4h,Qwen3.8-27B,prolong,codex,0306,4,4,4,0,300,max_steps,6|14|20|52,300,0.7,1024,off,on,1,True,900,8001,38,26,0,75,1528932,4126,trajectories/Qwen3.8-27B/prolong-codex-0306.jsonl,legacy,full
