run,scene,steps,manip_share,loco_share,camera_share,esc_actions,reply_chars_median,yaw_swept_deg,path_blocks
default(append),0074,200,0.065,0.705,0.335,0,884.0,5150,26.4
default(append),0102,200,0.0,0.535,0.48,0,980.0,8505,21.4
default(append),0118,200,0.0,0.835,0.17,0,782.5,2925,33.7
default(append),0130,200,0.0,0.425,0.52,0,919.0,4790,14.5
default(append),0182,200,0.005,0.525,0.375,0,904.5,5705,15.9
default(append),0232,200,0.02,0.145,0.825,0,896.0,2305,7.6
default(append),0306,44,0.0,0.9091,0.0227,4,655.5,45,10.9
default(append),0311,200,0.0,0.44,0.565,0,950.0,9540,17.7
default(append),0408,200,0.0,0.84,0.33,0,891.0,2895,27.4
default(append),0410,200,0.025,0.59,0.155,12,880.5,1575,27.3
default(append),0412,200,0.035,0.515,0.355,0,936.0,4940,21.2
default(append),0435,200,0.0,0.48,0.4,0,893.0,7220,27.9
default(append),0482,200,0.155,0.49,0.2,0,810.0,1370,29.1
default(append),0560,200,0.015,0.705,0.18,0,749.0,2200,36.2
default(append),0576,200,0.0,0.35,0.61,0,1012.5,4940,14.8
default(append),0603,200,0.07,0.565,0.28,0,902.0,3225,18.7
default(append),0675,200,0.03,0.435,0.535,0,885.5,8945,17.2
default(append),0694,200,0.025,0.535,0.14,0,933.0,1695,18.3
default(append),0726,200,0.0,0.58,0.42,0,990.5,5430,26.5
default(append),0763,200,0.0,0.475,0.545,0,987.0,9525,21.8
hypothesis(append),0074,200,0.0,0.51,0.47,0,1308.0,5350,25.2
hypothesis(append),0102,200,0.15,0.365,0.135,75,1433.5,300,10.3
hypothesis(append),0118,189,0.1111,0.5926,0.3175,0,1386,5215,25.1
hypothesis(append),0130,200,0.0,0.735,0.265,0,995.5,1185,36.8
hypothesis(append),0182,200,0.155,0.605,0.22,0,1466.5,1945,15.7
hypothesis(append),0232,200,0.035,0.665,0.3,0,1307.0,3260,10.8
hypothesis(append),0306,200,0.015,0.655,0.345,4,1425.0,10610,23.3
hypothesis(append),0311,200,0.04,0.705,0.275,0,1315.0,2945,27.2
hypothesis(append),0408,200,0.025,0.61,0.33,0,1882.0,5295,12.9
hypothesis(append),0410,200,0.17,0.485,0.405,2,1494.5,3295,24.4
hypothesis(append),0412,200,0.08,0.075,0.02,164,1441.0,150,4.2
hypothesis(append),0435,200,0.035,0.655,0.29,0,1380.0,2625,32.0
hypothesis(append),0482,200,0.21,0.31,0.29,50,1011.0,1570,16.5
hypothesis(append),0560,200,0.06,0.495,0.28,0,1245.0,3335,21.8
hypothesis(append),0576,200,0.0,0.45,0.58,0,1270.5,5000,17.8
hypothesis(append),0603,200,0.075,0.57,0.4,1,1337.5,1830,18.7
hypothesis(append),0675,200,0.25,0.58,0.3,0,1528.0,1710,15.8
hypothesis(append),0694,200,0.0,0.565,0.45,0,1165.5,3875,27.0
hypothesis(append),0726,200,0.0,0.595,0.385,0,1419.0,5170,25.5
hypothesis(append),0763,200,0.35,0.53,0.22,0,1134.5,2055,19.7
hypothesis(legacy),0074,200,0.02,0.72,0.3,0,1787.0,2350,32.3
hypothesis(legacy),0102,200,0.09,0.82,0.145,2,1744.0,920,26.3
hypothesis(legacy),0118,200,0.115,0.775,0.265,0,1584.0,1345,37.7
hypothesis(legacy),0130,200,0.14,0.86,0.245,0,1714.0,1555,34.9
hypothesis(legacy),0182,200,0.28,0.705,0.555,0,1546.0,2040,32.4
hypothesis(legacy),0232,200,0.155,0.535,0.38,0,1640.5,4090,19.1
hypothesis(legacy),0306,200,0.02,0.68,0.15,33,1795.5,820,29.2
hypothesis(legacy),0311,200,0.0,0.97,0.48,0,1662.5,1445,48.1
hypothesis(legacy),0408,200,0.265,0.66,0.14,0,1694.0,865,31.9
hypothesis(legacy),0410,200,0.16,0.535,0.38,1,1786.5,3975,26.0
hypothesis(legacy),0412,200,0.04,0.885,0.285,0,1769.0,2205,37.2
hypothesis(legacy),0435,200,0.18,0.79,0.245,0,1732.0,995,26.6
hypothesis(legacy),0482,200,0.295,0.595,0.25,0,1642.0,2590,28.0
hypothesis(legacy),0560,200,0.06,0.765,0.225,0,1635.5,1800,38.5
hypothesis(legacy),0576,200,0.0,0.72,0.44,0,1984.0,3405,23.4
hypothesis(legacy),0603,200,0.405,0.335,0.305,6,1894.5,1410,13.7
hypothesis(legacy),0675,200,0.475,0.445,0.25,9,1494.0,775,23.3
hypothesis(legacy),0694,200,0.405,0.81,0.365,0,1556.0,60,27.6
hypothesis(legacy),0726,200,0.0,0.925,0.195,0,1847.5,1410,34.2
hypothesis(legacy),0763,200,0.19,0.655,0.27,2,1670.5,3645,29.2
