layout,scene,esc_dropped,goal_confirm_reverted,locked_raise_capped,stale_by_budget,nodes,kinds,status
append-only,0560,0,12,0,0,4,"{""goal"": 4}","{""active"": 4}"
append-only,0182,0,12,0,1,10,"{""goal"": 6, ""mechanism"": 4}","{""active"": 8, ""stale"": 1, ""refuted"": 1}"
append-only,0118,0,14,0,0,4,"{""goal"": 4}","{""active"": 4}"
append-only,0576,0,11,0,0,2,"{""goal"": 2}","{""active"": 2}"
append-only,0232,0,4,0,0,3,"{""goal"": 3}","{""active"": 3}"
append-only,0408,0,5,0,0,90,"{""goal"": 4, ""location"": 5, ""other"": 4, ""mechanism"": 77}","{""active"": 5, ""refuted"": 81, ""confirmed"": 2, ""stale"": 2}"
append-only,0102,75,6,0,1,10,"{""goal"": 4, ""state"": 2, ""location"": 2, ""mechanism"": 2}","{""refuted"": 6, ""stale"": 2, ""active"": 1, ""confirmed"": 1}"
append-only,0726,0,19,0,1,32,"{""goal"": 3, ""location"": 4, ""mechanism"": 22, ""other"": 3}","{""active"": 7, ""stale"": 8, ""refuted"": 17}"
append-only,0311,0,1,0,0,30,"{""goal"": 4, ""mechanism"": 24, ""other"": 2}","{""active"": 9, ""refuted"": 18, ""confirmed"": 3}"
append-only,0074,0,38,0,0,4,"{""goal"": 4}","{""active"": 4}"
append-only,0412,164,8,0,0,14,"{""goal"": 4, ""location"": 2, ""mechanism"": 7, ""other"": 1}","{""locked"": 2, ""active"": 2, ""confirmed"": 1, ""stale"": 1, ""refuted"": 8}"
append-only,0675,0,12,0,0,40,"{""goal"": 5, ""mechanism"": 27, ""other"": 8}","{""active"": 7, ""refuted"": 29, ""stale"": 1, ""confirmed"": 3}"
append-only,0694,0,5,0,0,4,"{""goal"": 4}","{""active"": 4}"
append-only,0435,0,7,0,0,22,"{""goal"": 5, ""mechanism"": 1, ""location"": 13, ""other"": 3}","{""active"": 6, ""confirmed"": 1, ""stale"": 6, ""refuted"": 9}"
append-only,0410,2,28,12,0,16,"{""goal"": 5, ""mechanism"": 5, ""other"": 1, ""state"": 1, ""location"": 4}","{""locked"": 3, ""active"": 4, ""refuted"": 7, ""confirmed"": 2}"
append-only,0482,50,12,0,0,4,"{""goal"": 4}","{""active"": 4}"
append-only,0763,0,16,0,0,6,"{""location"": 1, ""goal"": 3, ""mechanism"": 1, ""state"": 1}","{""confirmed"": 2, ""active"": 2, ""refuted"": 2}"
append-only,0603,1,1,0,1,9,"{""goal"": 3, ""mechanism"": 5, ""location"": 1}","{""locked"": 3, ""confirmed"": 4, ""refuted"": 2}"
append-only,0130,0,1,0,0,8,"{""goal"": 4, ""mechanism"": 2, ""location"": 2}","{""active"": 4, ""refuted"": 3, ""confirmed"": 1}"
append-only,0306,4,13,21,0,18,"{""goal"": 4, ""location"": 2, ""other"": 1, ""mechanism"": 11}","{""locked"": 4, ""active"": 2, ""refuted"": 9, ""confirmed"": 1, ""stale"": 2}"
legacy,0274,0,6,0,0,9,"{""goal"": 3, ""state"": 1, ""location"": 4, ""mechanism"": 1}","{""active"": 4, ""confirmed"": 1, ""refuted"": 1, ""stale"": 3}"
legacy,0555,0,18,0,0,17,"{""goal"": 3, ""location"": 4, ""mechanism"": 10}","{""active"": 12, ""confirmed"": 3, ""refuted"": 2}"
legacy,0306,33,16,23,0,18,"{""goal"": 4, ""mechanism"": 4, ""location"": 9, ""other"": 1}","{""active"": 8, ""refuted"": 4, ""confirmed"": 3, ""stale"": 3}"
legacy,0695,78,5,0,2,11,"{""goal"": 3, ""location"": 2, ""state"": 2, ""mechanism"": 4}","{""active"": 6, ""confirmed"": 3, ""stale"": 1, ""under test"": 1}"
legacy,0368,1,9,83,0,11,"{""goal"": 5, ""state"": 1, ""mechanism"": 3, ""location"": 2}","{""locked"": 5, ""active"": 3, ""confirmed"": 3}"
legacy,0763,2,19,3,0,13,"{""goal"": 3, ""location"": 5, ""mechanism"": 3, ""state"": 2}","{""active"": 7, ""refuted"": 4, ""confirmed"": 2}"
legacy,0482,0,19,0,2,8,"{""goal"": 4, ""location"": 3, ""mechanism"": 1}","{""active"": 5, ""refuted"": 1, ""confirmed"": 2}"
legacy,0410,1,14,3,2,11,"{""location"": 7, ""goal"": 2, ""mechanism"": 1, ""state"": 1}","{""confirmed"": 5, ""active"": 3, ""locked"": 1, ""refuted"": 2}"
legacy,0603,6,21,93,0,3,"{""goal"": 3}","{""active"": 3}"
legacy,0435,0,21,0,0,26,"{""goal"": 5, ""mechanism"": 17, ""location"": 4}","{""active"": 7, ""refuted"": 16, ""confirmed"": 3}"
legacy,0130,0,0,0,1,12,"{""goal"": 4, ""location"": 7, ""other"": 1}","{""active"": 9, ""stale"": 3}"
legacy,0412,0,1,0,0,10,"{""goal"": 3, ""location"": 7}","{""active"": 4, ""refuted"": 5, ""stale"": 1}"
legacy,0232,0,1,0,0,10,"{""goal"": 3, ""location"": 3, ""mechanism"": 4}","{""active"": 5, ""stale"": 1, ""refuted"": 3, ""confirmed"": 1}"
legacy,0726,0,75,0,0,24,"{""goal"": 3, ""mechanism"": 17, ""location"": 4}","{""active"": 7, ""refuted"": 6, ""confirmed"": 11}"
legacy,0316,0,18,0,0,15,"{""goal"": 4, ""mechanism"": 11}","{""active"": 6, ""refuted"": 7, ""confirmed"": 2}"
legacy,0311,0,5,0,0,14,"{""goal"": 4, ""location"": 6, ""mechanism"": 3, ""other"": 1}","{""active"": 8, ""refuted"": 4, ""confirmed"": 2}"
legacy,0033,0,18,0,0,12,"{""goal"": 3, ""mechanism"": 3, ""location"": 5, ""state"": 1}","{""active"": 8, ""confirmed"": 4}"
legacy,0102,2,3,0,0,15,"{""goal"": 4, ""mechanism"": 1, ""location"": 9, ""state"": 1}","{""active"": 7, ""confirmed"": 2, ""refuted"": 5, ""stale"": 1}"
legacy,0074,0,2,0,0,16,"{""goal"": 3, ""mechanism"": 7, ""location"": 6}","{""active"": 5, ""refuted"": 6, ""confirmed"": 3, ""stale"": 2}"
legacy,0560,0,20,0,0,12,"{""goal"": 4, ""state"": 2, ""location"": 6}","{""active"": 8, ""refuted"": 3, ""confirmed"": 1}"
legacy,0118,0,7,0,1,7,"{""goal"": 4, ""location"": 1, ""mechanism"": 2}","{""active"": 5, ""refuted"": 1, ""confirmed"": 1}"
legacy,0576,0,14,0,0,28,"{""goal"": 3, ""mechanism"": 21, ""location"": 4}","{""active"": 7, ""stale"": 1, ""refuted"": 12, ""confirmed"": 8}"
legacy,0502,0,34,0,0,12,"{""location"": 6, ""goal"": 1, ""mechanism"": 5}","{""active"": 5, ""stale"": 1, ""confirmed"": 5, ""refuted"": 1}"
