run,scene,milestone,max_distance,facing_tol,d_spawn,d_min,steps_near,facing_min_when_near,earned,why
default(append),0074,find_blue_concrete_powder,5.0,60.0,6.32,1.22,38,14.3,True,earned
default(append),0074,find_potted_pink_tulip,5.0,60.0,11.17,1.28,147,1.5,True,earned
default(append),0074,talk_to_villager,5.0,60.0,12.77,3.18,102,9.1,True,earned
default(append),0102,find_orange_wall_banner,5.0,60.0,10.13,8.53,0,,False,never_near
default(append),0118,find_iron_ore,5.0,45.0,5.85,5.41,0,,False,never_near
default(append),0118,find_lava,8.0,45.0,9.86,9.76,0,,False,never_near
default(append),0118,find_stone_brick_stairs,5.0,45.0,12.28,9.61,0,,False,never_near
default(append),0130,find_smooth_quartz_slab,5.0,60.0,7.73,7.52,0,,False,never_near
default(append),0130,find_note_block,5.0,60.0,11.32,11.12,0,,False,never_near
default(append),0182,find_green_banner,5.0,60.0,6.3,3.29,86,5.7,True,earned
default(append),0182,find_dark_oak_button,5.0,60.0,8.59,3.07,132,20.9,True,earned
default(append),0232,find_spruce_planks,8.0,60.0,13.03,6.22,13,10.1,True,earned
default(append),0232,find_spruce_button,5.0,45.0,10.12,3.73,12,24.6,False,near_never_faced
default(append),0232,find_spruce_door,5.0,60.0,9.92,3.06,14,6.8,True,earned
default(append),0232,interact_with_stonecutter,3.0,60.0,12.91,5.97,0,,False,never_near
default(append),0306,find_granite,3.0,60.0,4.12,1.42,23,20.7,True,earned
default(append),0306,find_bricks,5.0,60.0,8.18,1.05,31,7.1,True,earned
default(append),0306,find_magenta_wall_banner,4.0,60.0,8.93,2.06,25,0.0,True,earned
default(append),0306,find_orange_banner,5.0,60.0,14.78,4.75,2,22.1,True,earned
default(append),0311,find_river,5.0,60.0,10.1,9.83,0,,False,never_near
default(append),0408,find_birch_fence,5.0,60.0,9.14,9.14,0,,False,never_near
default(append),0408,find_tnt,5.0,60.0,14.05,14.05,0,,False,never_near
default(append),0410,find_spruce_planks,5.0,60.0,5.94,5.89,0,,False,never_near
default(append),0410,find_brown_concrete,5.0,60.0,10.12,3.35,56,45.1,False,near_never_faced
default(append),0410,find_black_wool,5.0,60.0,16.49,2.17,49,0.2,True,earned
default(append),0412,find_oak_planks,5.0,60.0,7.36,2.9,119,3.1,True,earned
default(append),0412,find_cyan_bed,5.0,60.0,12.68,8.1,0,,False,never_near
default(append),0435,find_dark_oak_fence_gate,5.0,60.0,8.22,8.0,0,,False,never_near
default(append),0435,interact_blast_furnace,3.0,60.0,11.27,8.01,0,,False,never_near
