arm,scene,tag,prompt_layout,milestones_done,milestones_trackable,milestones_total,milestones_presatisfied,all_milestones_done,steps,termination,in_shared_set,frozen_pct,frozen_max_run,stalled_pct,revisit_pct,coverage,tortuosity,esc_presses,loop_self_reports,gui_limit_mentions,analyzer_turns,turns_without_action,stuck_class
prolong,0010,q35a-prolong-codex-0010,legacy,1,4,4,3,False,16,agent_esc,False,0.0,1,86.7,81.2,0.188,1.01,0,0,0,11,0,clean
prolong,0016,q35a-prolong-codex-0016,legacy,1,4,4,0,False,200,max_steps,False,33.7,9,94.3,89.9,0.101,1.57,0,0,0,569,556,clean
prolong,0019,q35a-prolong-codex-0019,legacy,1,4,4,0,False,200,max_steps,False,23.5,19,72.9,87.5,0.125,4.36,0,0,0,36,0,clean
prolong,0021,q35a-prolong-codex-0021,legacy,1,4,4,0,False,200,max_steps,False,60.5,11,85.9,93.0,0.070,1.01,0,0,0,18,0,clean
prolong,0026,q35a-prolong-codex-0026,legacy,1,4,4,0,False,200,max_steps,False,9.0,6,94.5,95.5,0.045,3.99,0,0,0,28,0,pacing_loop
prolong,0033,q35a-prolong-codex-0033,legacy,1,4,4,0,False,200,max_steps,False,9.0,18,91.5,95.5,0.045,3.95,0,0,0,62,0,pacing_loop
prolong,0037,q35a-prolong-codex-0037,legacy,2,4,4,1,False,200,max_steps,False,52.0,93,71.4,87.5,0.125,3.68,0,0,0,15,0,navigation_freeze
prolong,0040,q35a-prolong-codex-0040,legacy,2,4,4,0,False,200,max_steps,False,24.0,14,83.4,91.5,0.085,1.51,0,0,0,48,1,clean
prolong,0047,q35a-prolong-codex-0047,legacy,0,4,4,1,False,200,max_steps,False,0.0,1,19.6,72.0,0.280,3.79,0,0,0,24,0,clean
prolong,0049,q35a-prolong-codex-0049,legacy,0,4,4,0,False,200,max_steps,False,17.0,11,56.8,85.5,0.145,2.24,0,0,0,14,0,clean
prolong,0050,q35a-prolong-codex-0050,legacy,1,4,4,1,False,200,max_steps,False,23.5,11,75.9,88.0,0.120,1.45,0,0,0,75,0,clean
prolong,0053,q35a-prolong-codex-0053,legacy,2,4,4,2,False,48,agent_esc,False,0.0,1,36.2,68.8,0.312,1.10,0,0,0,11,0,clean
prolong,0058,q35a-prolong-codex-0058,legacy,1,4,4,1,False,200,max_steps,False,84.5,128,100.0,99.5,0.005,1.00,0,0,0,48,0,navigation_freeze
prolong,0070,q35a-prolong-codex-0070,legacy,2,4,4,0,False,200,max_steps,False,3.0,6,57.8,84.0,0.160,5.86,0,0,0,36,0,clean
prolong,0073,q35a-prolong-codex-0073,legacy,1,4,4,0,False,200,max_steps,False,13.0,17,82.9,88.0,0.120,3.65,0,0,0,46,0,clean
prolong,0074,q35a-prolong-codex-0074,legacy,2,4,4,0,False,200,max_steps,True,0.0,2,60.3,86.5,0.135,2.70,0,0,0,68,0,clean
prolong,0078,q35a-prolong-codex-0078,legacy,1,4,4,0,False,200,max_steps,False,51.0,6,96.0,95.0,0.050,2.26,0,0,0,34,0,pacing_loop
prolong,0084,q35a-prolong-codex-0084,legacy,3,4,4,1,False,41,agent_esc,False,0.0,1,35.0,73.2,0.268,1.03,0,0,0,10,0,clean
prolong,0093,q35a-prolong-codex-0093,legacy,0,4,4,0,False,200,max_steps,False,0.0,1,44.4,76.9,0.231,1.29,0,0,0,22,0,clean
prolong,0097,q35a-prolong-codex-0097,legacy,0,4,4,0,False,200,max_steps,False,63.0,34,98.0,96.0,0.040,1.85,0,0,0,38,0,navigation_freeze
prolong,0102,q35a-prolong-codex-0102,legacy,1,4,4,0,False,200,max_steps,True,22.5,16,72.4,84.5,0.155,3.39,0,0,0,33,0,clean
prolong,0106,q35a-prolong-codex-0106,legacy,0,4,4,0,False,200,max_steps,False,73.5,26,100.0,96.5,0.035,1.39,0,0,0,23,0,navigation_freeze
prolong,0107,q35a-prolong-codex-0107,legacy,1,4,4,0,False,200,max_steps,False,6.5,7,58.8,82.5,0.175,4.01,0,0,0,15,0,clean
prolong,0108,q35a-prolong-codex-0108,legacy,0,4,4,0,False,200,max_steps,False,5.0,10,46.7,88.0,0.120,2.81,0,0,0,15,0,clean
prolong,0110,q35a-prolong-codex-0110,legacy,0,4,4,0,False,200,max_steps,False,18.5,15,48.2,89.0,0.110,3.74,0,0,0,13,0,clean
prolong,0112,q35a-prolong-codex-0112,legacy,1,4,4,0,False,200,max_steps,False,21.0,6,79.4,89.5,0.105,1.75,0,0,0,28,0,clean
prolong,0115,q35a-prolong-codex-0115,legacy,1,4,4,1,False,200,max_steps,False,39.5,11,95.0,92.0,0.080,1.17,0,0,0,41,0,clean
prolong,0118,q35a-prolong-codex-0118,legacy,1,4,4,0,False,200,max_steps,True,73.5,53,98.5,97.0,0.030,1.09,0,0,0,14,0,navigation_freeze
prolong,0125,q35a-prolong-codex-0125,legacy,1,4,4,1,False,200,max_steps,False,24.5,14,90.5,91.5,0.085,1.97,0,0,0,31,0,clean
prolong,0130,q35a-prolong-codex-0130,legacy,0,4,4,0,False,200,max_steps,True,8.0,6,69.3,88.0,0.120,1.83,0,0,0,28,0,clean
