scene,trackable,presatisfied,prolong_ms,default_ms,hypothesis_ms,prolong_end,default_end,hypothesis_end,prolong_stuck,default_stuck,hypothesis_stuck,milestone_ids
0074,4,0,2,3,3,max_steps,max_steps,max_steps,clean,clean,clean,find_blue_concrete_powder|find_potted_pink_tulip|talk_to_villager|trade_for_pumpkin_pie
0102,4,0,1,0,0,max_steps,max_steps,max_steps,clean,pacing_loop,esc_deadlock,mine_sweet_berry_bush|sell_raw_rabbit|trade_for_emerald|find_orange_wall_banner
0118,4,0,1,0,0,max_steps,max_steps,max_steps,navigation_freeze,clean,clean,find_iron_ore|find_lava|mine_ancient_debris|find_stone_brick_stairs
0130,4,0,0,0,0,max_steps,max_steps,max_steps,clean,clean,clean,find_smooth_quartz_slab|find_note_block|mine_dark_oak_slab|craft_oak_button
0182,4,0,2,2,1,max_steps,max_steps,max_steps,clean,clean,clean,find_green_banner|find_dark_oak_button|mine_magma_block|bridge_lava_gap
0232,4,0,3,2,0,max_steps,max_steps,max_steps,pacing_loop,pacing_loop,clean,find_spruce_planks|find_spruce_button|find_spruce_door|interact_with_stonecutter
0306,4,0,4,4,3,agent_esc,agent_esc,max_steps,clean,clean,clean,find_granite|find_bricks|find_magenta_wall_banner|find_orange_banner
0311,4,2,1,0,0,max_steps,max_steps,max_steps,clean,clean,clean,find_river|find_plains|hunt_rabbit|hunt_donkey
0408,4,0,0,0,0,max_steps,max_steps,max_steps,clean,clean,pacing_loop,find_birch_fence|find_tnt|mine_gray_concrete|build_tower
0410,4,0,0,1,0,max_steps,max_steps,max_steps,clean,clean,clean,find_spruce_planks|craft_oak_fence_gate|find_brown_concrete|find_black_wool
0412,4,0,1,1,1,max_steps,max_steps,max_steps,pacing_loop,clean,esc_deadlock,find_oak_planks|craft_dark_oak_slab|craft_red_wool|find_cyan_bed
0435,4,0,2,0,0,max_steps,max_steps,max_steps,clean,clean,clean,find_dark_oak_fence_gate|interact_blast_furnace|find_yellow_wall_banner|use_splash_potion_strength
0482,4,0,1,1,1,max_steps,max_steps,max_steps,navigation_freeze,clean,esc_deadlock,find_stone_brick_slab|mine_mossy_cobblestone|mine_pink_concrete|build_hidden_room
0560,4,0,0,0,1,max_steps,max_steps,max_steps,clean,clean,clean,find_terracotta|mine_pink_stained_glass|find_gray_concrete_powder|craft_white_carpet
0576,4,0,1,1,0,max_steps,max_steps,max_steps,pacing_loop,clean,clean,find_stone_bricks|find_magenta_stained_glass|find_purple_banner|open_shulker_box
0603,4,0,1,1,1,max_steps,max_steps,max_steps,clean,clean,pacing_loop,find_purple_bed|mine_white_carpet|find_red_nether_brick_stairs|mine_quartz_block
0675,4,0,0,0,0,max_steps,max_steps,max_steps,navigation_freeze,clean,clean,collect_dark_oak_wood|collect_dark_oak_fence|collect_birch_trapdoor|craft_light_gray_bed
0694,4,0,3,1,0,max_steps,max_steps,max_steps,clean,clean,clean,find_cliff|find_packed_ice|find_stone_slab|find_iron_door
0726,4,0,3,0,1,max_steps,max_steps,max_steps,clean,clean,clean,find_seagrass|swim_across_channel|find_diamond_block|find_soul_campfire
0763,4,0,2,1,2,max_steps,max_steps,max_steps,navigation_freeze,clean,navigation_freeze,find_soul_torch|find_brown_banner|mine_purple_concrete|build_animal_pen
