verb,n_all_arms,prolong_done,prolong_n,prolong_pct,default_done,default_n,default_pct,hypothesis_done,hypothesis_n,hypothesis_pct
find,384,177,272,65.1,21,67,31.3,13,45,28.9
mine,165,3,129,2.3,0,25,0.0,0,11,0.0
craft,109,0,86,0.0,0,17,0.0,0,6,0.0
build,27,0,20,0.0,0,4,0.0,0,3,0.0
interact,14,3,9,33.3,0,3,0.0,0,2,0.0
trade,13,0,9,0.0,0,2,0.0,0,2,0.0
sell,12,0,10,0.0,0,1,0.0,0,1,0.0
collect,10,0,4,0.0,0,3,0.0,0,3,0.0
light,5,0,5,0.0,0,0,,0,0,
open,5,0,3,0.0,0,1,0.0,0,1,0.0
use,3,0,1,0.0,0,1,0.0,0,1,0.0
rename,3,0,2,0.0,0,1,0.0,0,0,
talk,3,1,1,100.0,1,1,100.0,1,1,100.0
swim,3,1,1,100.0,0,1,0.0,0,1,0.0
bridge,3,0,1,0.0,0,1,0.0,0,1,0.0
fall,2,0,2,0.0,0,0,,0,0,
shear,2,0,2,0.0,0,0,,0,0,
decorate,2,0,2,0.0,0,0,,0,0,
feed,1,0,1,0.0,0,0,,0,0,
play,1,0,1,0.0,0,0,,0,0,
lead,1,0,1,0.0,0,0,,0,0,
acquire,1,0,1,0.0,0,0,,0,0,
smelt,1,0,1,0.0,0,0,,0,0,
