cell,arm,scene,steps,milestones,ms_frames,stuck_frac,path_len,max_spawn_dist,final_spawn_dist,yaw_sectors_of_12,pitch_extreme_steps,act_move,act_turn,act_turn_move,act_jump_move,act_attack,act_use,act_noop,act_esc,act_other,sprint_steps,jump_steps,attack_steps,attack_max_streak,use_steps,esc_presses,invalid_sprint_noop,esc_rejected,first_esc_rej,parsed_steps,yaw_turn_total_deg,per_ms,turns,steps_per_turn,entries_total,cmd_tail,cmd_grep,cmd_other_read
c4h-default-vllm-0182,default,0182,300,2,"7,112,-1,-1",0.151,52.6,20.1,20.1,11,0,194,65,5,7,5,6,0,17,1,191,8,5,4,6,17,0,17,151,300,3740,"{""find_green_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": 7, ""min_dist"": 0.66, ""min_dist_step"": 127, ""facing_diff_at_min"": 95.0, ""steps_within_dist"": 133, ""first_within_dist"": 7, ""steps_within_dist_but_facing_bad"": 94, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_dark_oak_button"": {""type"": ""position_near_with_facing"", ""done_frame"": 112, ""min_dist"": 3.79, ""min_dist_step"": 127, ""facing_diff_at_min"": 90.9, ""steps_within_dist"": 76, ""first_within_dist"": 112, ""steps_within_dist_but_facing_bad"": 49, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""mine_magma_block"": {""type"": ""inventory_has"", ""done_frame"": null}, ""bridge_lava_gap"": {""type"": ""position_inside_box"", ""done_frame"": null, ""min_dist"": 3.6, ""min_dist_step"": 259, ""facing_diff_at_min"": null, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": null, ""facing_tol_half"": 0.0}}",,,,,,
c4h-default-vllm-0306,default,0306,136,4,"10,41,57,135",0.037,27.0,18.2,15.6,8,0,117,14,3,1,0,0,0,1,0,110,1,0,0,0,1,0,0,,136,1250,"{""find_granite"": {""type"": ""position_near_with_facing"", ""done_frame"": 10, ""min_dist"": 1.32, ""min_dist_step"": 52, ""facing_diff_at_min"": 124.1, ""steps_within_dist"": 44, ""first_within_dist"": 10, ""steps_within_dist_but_facing_bad"": 40, ""max_distance"": 3, ""facing_tol_half"": 30.0}, ""find_bricks"": {""type"": ""position_near_with_facing"", ""done_frame"": 41, ""min_dist"": 1.12, ""min_dist_step"": 71, ""facing_diff_at_min"": 95.3, ""steps_within_dist"": 49, ""first_within_dist"": 40, ""steps_within_dist_but_facing_bad"": 35, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_magenta_wall_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": 57, ""min_dist"": 1.59, ""min_dist_step"": 76, ""facing_diff_at_min"": 84.4, ""steps_within_dist"": 33, ""first_within_dist"": 57, ""steps_within_dist_but_facing_bad"": 20, ""max_distance"": 4, ""facing_tol_half"": 30.0}, ""find_orange_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": 135, ""min_dist"": 4.73, ""min_dist_step"": 136, ""facing_diff_at_min"": 0.3, ""steps_within_dist"": 5, ""first_within_dist"": 88, ""steps_within_dist_but_facing_bad"": 3, ""max_distance"": 5, ""facing_tol_half"": 30.0}}",,,,,,
c4h-default-vllm-0311,default,0311,300,1,"31,-1,-1,-1",0.686,18.0,9.1,8.1,7,8,103,37,0,28,43,5,0,84,0,115,28,43,5,5,84,0,84,172,300,3015,"{""find_river"": {""type"": ""position_near_with_facing"", ""done_frame"": 31, ""min_dist"": 1.78, ""min_dist_step"": 115, ""facing_diff_at_min"": 126.9, ""steps_within_dist"": 270, ""first_within_dist"": 31, ""steps_within_dist_but_facing_bad"": 237, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_plains"": {""type"": ""position_inside_box"", ""done_frame"": null, ""min_dist"": 5.99, ""min_dist_step"": 112, ""facing_diff_at_min"": null, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": null, ""facing_tol_half"": 0.0}, ""hunt_rabbit"": {""type"": ""count_in_box_at_most"", ""done_frame"": null}, ""hunt_donkey"": {""type"": ""count_in_box_at_most"", ""done_frame"": null}}",,,,,,
c4h-default-vllm-0482,default,0482,300,1,"66,-1,-1,-1",0.207,44.6,11.6,9.9,12,1,158,51,6,20,65,0,0,0,0,161,20,65,15,0,0,1,0,,300,3980,"{""find_stone_brick_slab"": {""type"": ""position_near_with_facing"", ""done_frame"": 66, ""min_dist"": 3.0, ""min_dist_step"": 271, ""facing_diff_at_min"": 41.6, ""steps_within_dist"": 173, ""first_within_dist"": 62, ""steps_within_dist_but_facing_bad"": 107, ""max_distance"": 8, ""facing_tol_half"": 30.0}, ""mine_mossy_cobblestone"": {""type"": ""inventory_has"", ""done_frame"": null}, ""mine_pink_concrete"": {""type"": ""inventory_has"", ""done_frame"": null}, ""build_hidden_room"": {""type"": ""count_in_box_at_least"", ""done_frame"": null}}",,,,,,
c4h-default-vllm-0603,default,0603,300,0,"-1,-1,-1,-1",0.368,33.6,9.3,4.9,10,0,132,72,1,44,50,0,0,0,1,140,46,50,16,0,0,0,0,,300,7470,"{""find_purple_bed"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 5.8, ""min_dist_step"": 8, ""facing_diff_at_min"": 0.0, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 5, ""facing_tol_half"": 15.0}, ""mine_white_carpet"": {""type"": ""inventory_has"", ""done_frame"": null}, ""find_red_nether_brick_stairs"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 4.26, ""min_dist_step"": 149, ""facing_diff_at_min"": 113.3, ""steps_within_dist"": 59, ""first_within_dist"": 76, ""steps_within_dist_but_facing_bad"": 59, ""max_distance"": 5, ""facing_tol_half"": 22.5}, ""mine_quartz_block"": {""type"": ""inventory_has"", ""done_frame"": null}}",,,,,,
c4h-default-vllm-0726,default,0726,300,0,"-1,-1,-1,-1",0.776,12.2,8.1,8.1,7,0,116,63,1,45,71,0,0,0,4,119,50,71,9,0,0,0,0,,300,5220,"{""find_seagrass"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 3.74, ""min_dist_step"": 19, ""facing_diff_at_min"": 121.6, ""steps_within_dist"": 15, ""first_within_dist"": 12, ""steps_within_dist_but_facing_bad"": 15, ""max_distance"": 5, ""facing_tol_half"": 22.5}, ""swim_across_channel"": {""type"": ""position_inside_box"", ""done_frame"": null, ""min_dist"": 2.28, ""min_dist_step"": 135, ""facing_diff_at_min"": null, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": null, ""facing_tol_half"": 0.0}, ""find_diamond_block"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 8.7, ""min_dist_step"": 20, ""facing_diff_at_min"": 110.6, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 4, ""facing_tol_half"": 22.5}, ""find_soul_campfire"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 11.33, ""min_dist_step"": 19, ""facing_diff_at_min"": 116.0, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 5, ""facing_tol_half"": 22.5}}",,,,,,
c4h-default-vllm-0763,default,0763,300,2,"1,51,-1,-1",0.12,50.7,10.2,2.1,9,0,221,49,1,28,1,0,0,0,0,160,28,1,1,0,0,0,0,,300,5085,"{""find_soul_torch"": {""type"": ""position_near_with_facing"", ""done_frame"": 1, ""min_dist"": 0.28, ""min_dist_step"": 83, ""facing_diff_at_min"": 75.3, ""steps_within_dist"": 230, ""first_within_dist"": 1, ""steps_within_dist_but_facing_bad"": 170, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_brown_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": 51, ""min_dist"": 2.55, ""min_dist_step"": 51, ""facing_diff_at_min"": 5.0, ""steps_within_dist"": 42, ""first_within_dist"": 33, ""steps_within_dist_but_facing_bad"": 40, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""mine_purple_concrete"": {""type"": ""inventory_has"", ""done_frame"": null}, ""build_animal_pen"": {""type"": ""count_in_box_at_least"", ""done_frame"": null}}",,,,,,
c4h-hypothesis-vllm-0182,hypothesis,0182,300,2,"8,38,-1,-1",0.134,46.0,10.5,6.6,10,0,176,64,1,28,6,14,0,1,10,172,29,6,4,14,1,3,1,264,300,6045,"{""find_green_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": 8, ""min_dist"": 0.44, ""min_dist_step"": 50, ""facing_diff_at_min"": 105.9, ""steps_within_dist"": 231, ""first_within_dist"": 8, ""steps_within_dist_but_facing_bad"": 180, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_dark_oak_button"": {""type"": ""position_near_with_facing"", ""done_frame"": 38, ""min_dist"": 2.28, ""min_dist_step"": 299, ""facing_diff_at_min"": 26.3, ""steps_within_dist"": 171, ""first_within_dist"": 20, ""steps_within_dist_but_facing_bad"": 131, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""mine_magma_block"": {""type"": ""inventory_has"", ""done_frame"": null}, ""bridge_lava_gap"": {""type"": ""position_inside_box"", ""done_frame"": null, ""min_dist"": 12.76, ""min_dist_step"": 86, ""facing_diff_at_min"": null, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": null, ""facing_tol_half"": 0.0}}",,,,,,
c4h-hypothesis-vllm-0306,hypothesis,0306,107,4,"7,15,46,106",0.123,15.4,12.8,12.8,7,2,63,23,7,3,7,0,0,3,1,16,10,7,1,0,3,0,2,95,107,1385,"{""find_granite"": {""type"": ""position_near_with_facing"", ""done_frame"": 7, ""min_dist"": 0.93, ""min_dist_step"": 15, ""facing_diff_at_min"": 21.9, ""steps_within_dist"": 55, ""first_within_dist"": 7, ""steps_within_dist_but_facing_bad"": 44, ""max_distance"": 3, ""facing_tol_half"": 30.0}, ""find_bricks"": {""type"": ""position_near_with_facing"", ""done_frame"": 15, ""min_dist"": 0.15, ""min_dist_step"": 71, ""facing_diff_at_min"": 117.0, ""steps_within_dist"": 93, ""first_within_dist"": 15, ""steps_within_dist_but_facing_bad"": 53, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_magenta_wall_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": 46, ""min_dist"": 1.83, ""min_dist_step"": 83, ""facing_diff_at_min"": 106.4, ""steps_within_dist"": 60, ""first_within_dist"": 46, ""steps_within_dist_but_facing_bad"": 55, ""max_distance"": 4, ""facing_tol_half"": 30.0}, ""find_orange_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": 106, ""min_dist"": 4.05, ""min_dist_step"": 107, ""facing_diff_at_min"": 14.4, ""steps_within_dist"": 19, ""first_within_dist"": 89, ""steps_within_dist_but_facing_bad"": 17, ""max_distance"": 5, ""facing_tol_half"": 30.0}}",,,,,,
c4h-hypothesis-vllm-0311,hypothesis,0311,300,0,"-1,-1,-1,-1",0.278,36.0,13.5,13.5,12,0,123,49,1,46,78,0,0,3,0,146,46,78,19,0,3,0,3,148,300,3960,"{""find_river"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 10.13, ""min_dist_step"": 1, ""facing_diff_at_min"": 180.0, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_plains"": {""type"": ""position_inside_box"", ""done_frame"": null, ""min_dist"": 15.13, ""min_dist_step"": 1, ""facing_diff_at_min"": null, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": null, ""facing_tol_half"": 0.0}, ""hunt_rabbit"": {""type"": ""count_in_box_at_most"", ""done_frame"": null}, ""hunt_donkey"": {""type"": ""count_in_box_at_most"", ""done_frame"": null}}",,,,,,
